2025-09-24 at 14:37:42 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:37:42 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:37:44 | INFO | Запись VPN успешно добавлена.
2025-09-24 at 14:38:01 | INFO | Бот остановлен!
2025-09-24 at 14:41:36 | INFO | Бот успешно запущен
2025-09-24 at 14:41:40 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:41:40 | INFO | Запись не найдена по фильтрам{'telegram_id': 433841377}
2025-09-24 at 14:41:40 | INFO | Запись User успешно добавлена.
2025-09-24 at 14:41:40 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:41:40 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:41:42 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:41:42 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:42:16 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:42:16 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:42:31 | INFO | Бот остановлен!
2025-09-24 at 14:42:41 | INFO | Бот успешно запущен
2025-09-24 at 14:42:44 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:42:44 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:42:54 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:42:55 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:43:06 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:43:06 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 14:44:04 | INFO | Бот остановлен!
2025-09-24 at 14:46:31 | INFO | Бот успешно запущен
